dx,TERM,CHAPTER,BLOCK
I730,Raynaud's syndrome,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I972,Postmastectomy lymphoedema syndrome,Diseases of the circulatory system,Other and unspecified disorders of the circulatory system
J050,Acute obstructive laryngitis [croup],Diseases of the respiratory system,Acute upper respiratory infections
J439,"Emphysema, unspecified",Diseases of the respiratory system,Chronic lower respiratory diseases
J61,Pneumoconiosis due to asbestos and other mineral fibres,Diseases of the respiratory system,Lung diseases due to external agents
J840,Alveolar and parieto-alveolar conditions,Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium
J848,Other specified interstitial pulmonary diseases,Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium
J950,Tracheostomy malfunction,Diseases of the respiratory system,Other diseases of the respiratory system
K269,"Duodenal ulcer: unspecified as acute or chronic, without haemorrhage or perforation",Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
K291,Other acute gastritis,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
K648,Other specified haemorrhoids,Diseases of the digestive system,Other diseases of intestines
K650,Acute peritonitis,Diseases of the digestive system,Diseases of peritoneum
K661,Haemoperitoneum,Diseases of the digestive system,Diseases of peritoneum
K811,Chronic cholecystitis,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas"
L298,Other pruritus,Diseases of the skin and subcutaneous tissue,Dermatitis and eczema
L850,Acquired ichthyosis,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue
L891,Stage II decubitus ulcer,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue
L892,Stage III decubitus ulcer,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue
L929,"Granulomatous disorder of the skin and subcutaneous tissue, unspecified",Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue
M0299,"Reactive arthopathy, unspecified: site unspecified",Diseases of the musculoskeletal system and connective tissue,Arthropathies
M1096,"Gout, unspecified: lower leg",Diseases of the musculoskeletal system and connective tissue,Arthropathies
M1129,Other chondrocalcinosis: site unspecified,Diseases of the musculoskeletal system and connective tissue,Arthropathies
M1393,"Arthritis, unspecified: forearm",Diseases of the musculoskeletal system and connective tissue,Arthropathies
M146,Neuropathic arthropathy,Diseases of the musculoskeletal system and connective tissue,Arthropathies
M170,"Primary gonarthrosis, bilateral",Diseases of the musculoskeletal system and connective tissue,Arthropathies
M222,Patellofemoral disorders,Diseases of the musculoskeletal system and connective tissue,Arthropathies
M332,Polymyositis,Diseases of the musculoskeletal system and connective tissue,Systemic connective tissue disorders
M348,Other forms of systemic sclerosis,Diseases of the musculoskeletal system and connective tissue,Systemic connective tissue disorders
M4712,Other spondylosis with myelopathy: Cervical region,Diseases of the musculoskeletal system and connective tissue,Dorsopathies
M4782,Other spondylosis: Cervical region,Diseases of the musculoskeletal system and connective tissue,Dorsopathies
M4899,"Spondylopathy, unspecified: Site unspecified",Diseases of the musculoskeletal system and connective tissue,Dorsopathies
M512,Other specified intervertebral disc displacement,Diseases of the musculoskeletal system and connective tissue,Dorsopathies
M6226,Ischaemic infarction of muscle: lower leg,Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders
M7266,Necrotising fasciitis: lower leg,Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders
M751,Rotator cuff syndrome,Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders
M752,Bicipital tendinitis,Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders
M8196,"Osteoporosis, unspecified: lower leg",Diseases of the musculoskeletal system and connective tissue,Osteopathies and chondropathies
M8617,Other acute osteomyelitis: ankle and foot,Diseases of the musculoskeletal system and connective tissue,Osteopathies and chondropathies
N132,Hydronephrosis with renal and ureteral calculous obstruction,Diseases of the genitourinary system,Renal tubulo-interstitial diseases
N201,Calculus of ureter,Diseases of the genitourinary system,Urolithiasis
N281,"Cyst of kidney, acquired",Diseases of the genitourinary system,Other disorders of kidney and ureter
N701,Chronic salpingitis and oophoritis,Diseases of the genitourinary system,Inflammatory diseases of female pelvic organs
N870,Mild cervical dysplasia,Diseases of the genitourinary system,Noninflammatory disorders of female genital tract
Q231,Congenital insufficiency of aortic valve,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the circulatory system
Q251,Coarctation of aorta,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the circulatory system
Q612,"Polycystic kidney, autosomal dominant","Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the urinary system
Q800,Ichthyosis vulgaris,"Congenital malformations, deformations and chromosomal abnormalities",Other congenital malformations
R002,Palpitations,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the circulatory and respiratory systems
R040,Epistaxis,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the circulatory and respiratory systems
R074,"Chest pain, unspecified","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the circulatory and respiratory systems
R21,Rash and other nonspecific skin eruption,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the skin and subcutaneous tissue
R221,"Localized swelling, mass and lump, neck","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the skin and subcutaneous tissue
R258,Other and unspecified abnormal involuntary movements,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the nervous and musculoskeletal systems
R410,"Disorientation, unspecified","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","Symptoms and signs involving cognition, perception, emotional state and behaviour"
R502,Drug-induced fever,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs
R578,Other shock,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs
R740,Elevation of levels of transaminase and lactic acid dehydrogenase [LDH],"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","Abnormal findings on examination of blood, without diagnosis"
R828,Abnormal findings on cytological and histological examination of urine,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","Abnormal findings on examination of urine, without diagnosis"
R829,Other and unspecified abnormal findings in urine,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","Abnormal findings on examination of urine, without diagnosis"
T793,"Post-traumatic wound infection, not elsewhere classified","Injury, poisoning and certain other consequences of external causes",Certain early complications of trauma
T812,"Accidental puncture and laceration during a procedure, not elsewhere classified","Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care, not elsewhere classified"
T818,"Other complications of procedures, not elsewhere classified","Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care, not elsewhere classified"
I280,Arteriovenous fistula of pulmonary vessels,Diseases of the circulatory system,Pulmonary heart disease and diseases of pulmonary circulation
M303,Mucocutaneous lymph node syndrome [Kawasaki],Diseases of the musculoskeletal system and connective tissue,Systemic connective tissue disorders
C182,"Malignant neoplasm of colon, ascending colon",Neoplasms,Malignant neoplasms
C19,Malignant neoplasm of rectosigmoid junction,Neoplasms,Malignant neoplasms
C786,Secondary malignant neoplasm of retroperitoneum and peritoneum,Neoplasms,Malignant neoplasms
C787,Secondary malignant neoplasm of liver and intrahepatic bile duct,Neoplasms,Malignant neoplasms
C788,Secondary malignant neoplasm of other and unspecified digestive organs,Neoplasms,Malignant neoplasms
C800,"Malignant neoplasm, primary site unknown, so stated",Neoplasms,Malignant neoplasms
D136,Benign neoplasm of pancreas,Neoplasms,Benign neoplasms
D261,Other benign neoplasms of corpus uteri,Neoplasms,Benign neoplasms
D329,"Benign neoplasm of meninges, unspecified",Neoplasms,Benign neoplasms
D376,"Benign neoplasm of liver, gallbladder and bile ducts",Neoplasms,Neoplasms of uncertain or unknown behaviour
D685,Primary Thrombophilia,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Coagulation defects, purpura and other haemorrhagic conditions"
D898,"Other specified disorders involving the immune mechanism, not elsewhere classified",Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Certain disorders involving the immune mechanism
F050,"Delirium, not superimposed on dementia, so described",Mental and behavioural disorders,"Organic, including symptomatic, mental disorders"
F323,Severe depressive episode with psychotic symptoms,Mental and behavioural disorders,Mood [affective] disorders
G319,"Degenerative disease of the nervous system, unspecified",Diseases of the nervous system,Other degenerative diseases of the nervous system
G500,Trigeminal neuralgia,Diseases of the nervous system,"Nerve, nerve root and plexus disorders"
G903,Multi-system degeneration,Diseases of the nervous system,Other disorders of the nervous system
J380,Paralysis of vocal cords and larynx,Diseases of the respiratory system,Other diseases of upper respiratory tract
K711,Toxic liver disease with hepatic necrosis,Diseases of the digestive system,Diseases of liver
M1098,"Gout, unspecified: other",Diseases of the musculoskeletal system and connective tissue,Arthropathies
M5499,"Dorsalgia, unspecified: Site unspecified",Diseases of the musculoskeletal system and connective tissue,Dorsopathies
N63,Unspecified lump in breast,Diseases of the genitourinary system,Disorders of breast
N924,Excessive bleeding in the premenopausal period,Diseases of the genitourinary system,Noninflammatory disorders of female genital tract
N938,Other specified abnormal uterine and vaginal bleeding,Diseases of the genitourinary system,Noninflammatory disorders of female genital tract
Q600,"Renal agenesis, unilateral","Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the urinary system
R194,Change in bowel habit,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the digestive system and abdomen
C169,"Malignant neoplasm ot stomach, unspecified",Neoplasms,Malignant neoplasms
C221,Intrahepatic bile duct carcinoma,Neoplasms,Malignant neoplasms
C252,"Malignant neoplasm of pancreas, tail of pancreas",Neoplasms,Malignant neoplasms
C259,"Malignant neoplasm of pancreas, unspecified",Neoplasms,Malignant neoplasms
C782,Secondary malignant neoplasm of pleura,Neoplasms,Malignant neoplasms
D121,Benign neoplasm of appendix,Neoplasms,Benign neoplasms
F453,Somatoform autonomic dysfunction,Mental and behavioural disorders,"Neurotic, stress-related and somatoform disorders"
G92,Toxic encephalopathy,Diseases of the nervous system,Other disorders of the nervous system
K260,Duodenal ulcer: acute with haemorrhage,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
M1186,Other specified crystal arthropathies: lower leg,Diseases of the musculoskeletal system and connective tissue,Arthropathies
D560,Alpha thalassaemia,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Haemolytic anaemias
D561,Beta thalassaemia,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Haemolytic anaemias
L281,Prurigo nodularis,Diseases of the skin and subcutaneous tissue,Dermatitis and eczema
L304,Erythema intertrigo,Diseases of the skin and subcutaneous tissue,Dermatitis and eczema
L940,Localized scleroderma [morphea],Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue
F799,Unspecified mental retardation: without mention of impairment of behaviour,Mental and behavioural disorders,Mental retardation
I870,Postthrombotic syndrome,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
K529,"Noninfective gastroenteritis and colitis, unspecified",Diseases of the digestive system,Noninfective enteritis and colitis
M4309,Spondylolysis: Site unspecified,Diseases of the musculoskeletal system and connective tissue,Dorsopathies
N258,Other disorders resulting from impaired renal tubular function,Diseases of the genitourinary system,Other disorders of kidney and ureter
N800,Endometriosis of uterus,Diseases of the genitourinary system,Noninflammatory disorders of female genital tract
O994,"Diseases of the circulatory system complicating pregnancy, childbirth and the puerperium","Pregnancy, childbirth and the puerperium","Other obstetric conditions, not elsewhere classified"
P271,Bronchopulmonary dysplasia originating in the perinatal period,Certain conditions originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period
Q250,Patent ductus arteriosus,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the circulatory system
Q255,Atresia of pulmonary artery,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the circulatory system
Q909,"Down's syndrome, unspecified","Congenital malformations, deformations and chromosomal abnormalities","Chromosomal abnormalities, not elsewhere classified"
Q991,"46, XX true hermaphrodite","Congenital malformations, deformations and chromosomal abnormalities","Chromosomal abnormalities, not elsewhere classified"
J841,Other interstitial pulmonary diseases with fibrosis,Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium
K805,Calculus of bile duct without cholangitis or cholecystitis,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas"
C830,Small cell B-cell lymphoma,Neoplasms,Malignant neoplasms
E883,Tumour lysis syndrome,"Endocrine, nutritional and metabolic diseases",Metabolic disorders
A188,Tuberculosis of other specified organs,Certain infectious and parasitic diseases,Tuberculosis
C771,Malignant neoplasm of intrathoracic lymph nodes,Neoplasms,Malignant neoplasms
C809,"Malignant neoplasm  primary site, unspecified",Neoplasms,Malignant neoplasms
I320,Pericarditis in bacterial diseases classified elsewhere,Diseases of the circulatory system,Other forms of heart disease
I328,Pericarditis in other diseases classified elsewhere,Diseases of the circulatory system,Other forms of heart disease
L893,Stage IV decubitus ulcer,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue
C73,Malignant neoplasm of thyroid gland,Neoplasms,Malignant neoplasms
M351,Other overlap syndromes,Diseases of the musculoskeletal system and connective tissue,Systemic connective tissue disorders
A401,"Sepsis due to Streptococcus, group B",Certain infectious and parasitic diseases,Other bacterial diseases
A409,"Streptococcal sepsis, unspecified",Certain infectious and parasitic diseases,Other bacterial diseases
A498,Other bacterial infections of unspecified site,Certain infectious and parasitic diseases,Other bacterial diseases
B954,Other streptococcus as the cause of diseases classified to other chapters,Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents"
D618,Other specified aplastic anaemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Aplastic and other anaemias
E806,Other disorders of bilirubin metabolism,"Endocrine, nutritional and metabolic diseases",Metabolic disorders
F106,Mental and behavioral disorders due to use of alcohol: Amnesic syndrome,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use
G060,Intracranial abscess and granuloma,Diseases of the nervous system,Inflammatory diseases of the central nervous system
G911,Obstructive hydrocephalus,Diseases of the nervous system,Other disorders of the nervous system
H440,Purulent endophthalmitis,Diseases of the eye and adnexa,Disorders of vitreous body and globe
J958,Other postprocedural respiratory disorders,Diseases of the respiratory system,Other diseases of the respiratory system
K710,Toxic liver disease with cholestasis,Diseases of the digestive system,Diseases of liver
K810,Acute cholecystitis,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas"
M0098,"Pyogenic arthritis, unspecified: other",Diseases of the musculoskeletal system and connective tissue,Arthropathies
M4646,"Discitis, unspecified: Lumbar region",Diseases of the musculoskeletal system and connective tissue,Dorsopathies
M4647,"Discitis, unspecified: Lumbosacral region",Diseases of the musculoskeletal system and connective tissue,Dorsopathies
B908,Sequelae of tuberculosis of other organs,Certain infectious and parasitic diseases,Sequelae of infectious and parasitic diseases
D589,"Hereditary haemolytic anaemia, unspecified",Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Haemolytic anaemias
F913,Oppositional defiant disorder,Mental and behavioural disorders,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
J942,Haemothorax,Diseases of the respiratory system,Other diseases of pleura
M0696,"Rheumatoid arthritis, unspecified: lower leg",Diseases of the musculoskeletal system and connective tissue,Arthropathies
N328,Other specified disorders of bladder,Diseases of the genitourinary system,Other diseases of urinary system
B449,"Aspergillosis, unspecified",Certain infectious and parasitic diseases,Mycoses
H609,"Otitis externa, unspecified",Diseases of the ear and mastoid process,Diseases of external ear
J860,Pyothorax with fistula,Diseases of the respiratory system,Suppurative and necrotic conditions of lower respiratory tract
B209,HIV disease resulting in unspecified infectious or parasitic disease,Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease
D150,Benign neoplasm of thymus,Neoplasms,Benign neoplasms
G402,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple complex seizures,Diseases of the nervous system,Episodic and paroxysmal disorders
G802,Spastic hemiplegic cerebral palsy,Diseases of the nervous system,Cerebral palsy and other paralytic syndromes
J450,Predominantly allergic asthma,Diseases of the respiratory system,Chronic lower respiratory diseases
J985,"Diseases of mediastinum, not elsewhere classified",Diseases of the respiratory system,Other diseases of the respiratory system
K021,Caries of dentine,Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws"
K409,"Unilateral or unspecified inguinal hernia, without obstruction or gangrene",Diseases of the digestive system,Hernia
K719,"Toxic liver disease, unspecified",Diseases of the digestive system,Diseases of liver
N341,Nonspecific urethritis,Diseases of the genitourinary system,Other diseases of urinary system
Q019,"Encephalocele, unspecified","Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the nervous system
K041,Necrosis of pulp,Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws"
Q254,Other congenital malformations of aorta,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the circulatory system
Q874,Marfan's syndrome,"Congenital malformations, deformations and chromosomal abnormalities",Other congenital malformations
R030,Elevated blood pressure reading without diagnosis of hypertension,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the circulatory and respiratory systems
Q257,Other congenital malformations of pulmonary artery,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the circulatory system
J393,"Upper respiratory tract hypersensitivity reaction, site unspecified",Diseases of the respiratory system,Other diseases of upper respiratory tract
E878,"Other disorders of electrolyte and fluid balance, not elsewhere classified","Endocrine, nutritional and metabolic diseases",Metabolic disorders
B850,Pediculosis due to Pediculus humanus capitis,Certain infectious and parasitic diseases,"Pediculosis, acariasis and other infestations"
C402,Malignant neoplasm of long bones of lower limb,Neoplasms,Malignant neoplasms
E888,Other specified metabolic disorders,"Endocrine, nutritional and metabolic diseases",Metabolic disorders
J069,"Acute upper respiratory infection, unspecified",Diseases of the respiratory system,Acute upper respiratory infections
K519,"Ulcerative colitis, unspecified",Diseases of the digestive system,Noninfective enteritis and colitis
K858,Other acute pancreatitis,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas"
M1394,"Arthritis, unspecified: hand",Diseases of the musculoskeletal system and connective tissue,Arthropathies
R628,Other lack of expected normal physiological development,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs
M6269,Muscle strain: site unspecified,Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders
B690,Cysticercosis of central nervous system,Certain infectious and parasitic diseases,Helminthiases
E131,"Other specified diabetes mellitus, with ketoacidosis","Endocrine, nutritional and metabolic diseases",Diabetes mellitus
D180,"Haemangioma, any site",Neoplasms,Benign neoplasms
F103,Mental and behavioral disorders due to use of alcohol: Withdrawal state,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use
F109,Mental and behavioral disorders due to use of alcohol: Unspecified Mental and behavioural disorder,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use
K068,Other specified disorders of gingiva and edentulous alveolar ridge,Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws"
M6286,Other specified disorders of muscle: lower leg,Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders
I409,"Acute myocarditis, unspecified",Diseases of the circulatory system,Other forms of heart disease
N133,Other and unspecified hydronephrosis,Diseases of the genitourinary system,Renal tubulo-interstitial diseases
R591,Generalized enlarged lymph nodes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs
R937,Abnormal findings on diagnostic imaging of other parts of musculoskeletal system,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","Abnormal findings on diagnostic imaging and in function studies, without diagnosis"
E058,Other thyrotoxicosis,"Endocrine, nutritional and metabolic diseases",Disorders of thyroid gland
L639,"Alopecia areata, unspecified",Diseases of the skin and subcutaneous tissue,Disorders of skin appendages
L918,Other hypertrophic disorders of the skin,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue
F430,Acute stress reaction,Mental and behavioural disorders,"Neurotic, stress-related and somatoform disorders"
G936,Cerebral oedema,Diseases of the nervous system,Other disorders of the nervous system
I698,Sequelae of other and unspecified cerebrovascular diseases,Diseases of the circulatory system,Cerebrovascular diseases
R263,Immobility,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the nervous and musculoskeletal systems
B370,Candidal stomatitis,Certain infectious and parasitic diseases,Mycoses
G439,"Migraine, unspecified",Diseases of the nervous system,Episodic and paroxysmal disorders
G513,Clonic hemifacial spasm,Diseases of the nervous system,"Nerve, nerve root and plexus disorders"
I438,Cardiomyopathy in other diseases classified elsewhere,Diseases of the circulatory system,Other forms of heart disease
I692,Sequelae of other nontraumatic intracranial haemorrhage,Diseases of the circulatory system,Cerebrovascular diseases
M1004,Idiopathic gout: hand,Diseases of the musculoskeletal system and connective tissue,Arthropathies
K716,"Toxic liver disease with hepatitis, not elsewhere classified",Diseases of the digestive system,Diseases of liver
M1127,Other chondrocalcinosis: ankle and foot,Diseases of the musculoskeletal system and connective tissue,Arthropathies
Q201,Double outlet right ventricle,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the circulatory system
T813,"Disruption of operation wound, not elsewhere classified","Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care, not elsewhere classified"
F209,"Schizophrenia, unspecified",Mental and behavioural disorders,"Schizophrenia, schizotypal and delusional disorders"
L309,"Dermatitis, unspecified",Diseases of the skin and subcutaneous tissue,Dermatitis and eczema
A412,Sepsis due to unspecified staphylococcus,Certain infectious and parasitic diseases,Other bacterial diseases
C920,Acute myeloblastic leukaemia [AML],Neoplasms,Malignant neoplasms
J128,Other viral pneumonia,Diseases of the respiratory system,Influenza and pneumonia
K701,Alcoholic hepatitis,Diseases of the digestive system,Diseases of liver
M545,Low back pain,Diseases of the musculoskeletal system and connective tissue,Dorsopathies
M627,Rhabdomyolysis,Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders
M8008,Postmenopausal osteoporosis with pathological fracture: other,Diseases of the musculoskeletal system and connective tissue,Osteopathies and chondropathies
H179,"Corneal scar and opacity, unspecified",Diseases of the eye and adnexa,"Disorders of sclera, cornea, iris and ciliary body"
K088,Other specified disorders of teeth and supporting structures,Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws"
K938,Disorders of other specified digestive organs in diseases classified elsewhere,Diseases of the digestive system,Other diseases of the digestive system
C64,"Malignant neoplasm of kidney, except renal pelvis",Neoplasms,Malignant neoplasms
J982,Interstitial emphysema,Diseases of the respiratory system,Other diseases of the respiratory system
M1097,"Gout, unspecified: ankle and foot",Diseases of the musculoskeletal system and connective tissue,Arthropathies
R412,Retrograde amnesia,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","Symptoms and signs involving cognition, perception, emotional state and behaviour"
B769,"Hookworm disease, unspecified",Certain infectious and parasitic diseases,Helminthiases
F122,Mental and behavioral disorders due to use of cannabinoids: Dependence sydrome,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use
F609,"Personality disorder, unspecified",Mental and behavioural disorders,Disorders of adult personality and behaviour
A084,"Viral intestinal infection, unspecified",Certain infectious and parasitic diseases,Intestinal Infectious Diseases
A165,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",Certain infectious and parasitic diseases,Tuberculosis
A499,"Bacterial infection, unspecified",Certain infectious and parasitic diseases,Other bacterial diseases
B49,Unspecified mycosis,Certain infectious and parasitic diseases,Mycoses
B789,"Strongyloidiasis, unspecified",Certain infectious and parasitic diseases,Helminthiases
C12,Malignant neoplasm of pyriform sinus,Neoplasms,Malignant neoplasms
C343,"Malignant neoplasm of lower lobe, bronchus or lung",Neoplasms,Malignant neoplasms
C833,Diffuse large B-cell lymphoma,Neoplasms,Malignant neoplasms
C859,"Non-Hodgkin lymphoma, unspecified",Neoplasms,Malignant neoplasms
D352,Benign neoplasm of pituitary gland,Neoplasms,Benign neoplasms
D529,"Folate deficiency anaemia, unspecified",Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Nutritional anaemias
D751,Secondary polycythaemia,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs
D759,"Disease of blood and blood-forming organs, unspecified",Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs
E209,"Hypoparathyroidism, unspecified","Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands
E273,Drug-induced adrenocortical insufficiency,"Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands
E279,"Disorder of adrenal gland, unspecified","Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands
E831,Disorders of iron metabolism,"Endocrine, nutritional and metabolic diseases",Metabolic disorders
E859,"Amyloidosis, unspecified","Endocrine, nutritional and metabolic diseases",Metabolic disorders
E86,Volume depletion,"Endocrine, nutritional and metabolic diseases",Metabolic disorders
F009,"Dementia in Alzheimer's disease, unspecified (G30.9+)",Mental and behavioural disorders,"Organic, including symptomatic, mental disorders"
F012,Subcortical vascular dementia,Mental and behavioural disorders,"Organic, including symptomatic, mental disorders"
F067,Mild cognitive disorder,Mental and behavioural disorders,"Organic, including symptomatic, mental disorders"
F239,"Acute and transient psychotic disorder, unspecified",Mental and behavioural disorders,"Schizophrenia, schizotypal and delusional disorders"
F412,Mixed anxiety and depressive disorder,Mental and behavioural disorders,"Neurotic, stress-related and somatoform disorders"
F510,Nonorganic insomnia,Mental and behavioural disorders,Behavioural syndromes associated with physiological disturbances and physical factors
G724,"Inflammatory myopathy, not elsewhere classified",Diseases of the nervous system,Diseases of myoneural junction and muscle
G958,Other specified diseases of spinal cord,Diseases of the nervous system,Other disorders of the nervous system
G98,"Other disorders of nervous system, not elsewhere classified",Diseases of the nervous system,Other disorders of the nervous system
H470,"Disorders of optic nerve, not elsewhere classified",Diseases of the eye and adnexa,Disorders of optic nerve and visual pathways
H540,"Blindness, binocular",Diseases of the eye and adnexa,Visual disturbances and blindness
H905,"Sensorineural hearing loss, unspecified",Diseases of the ear and mastoid process,Other disorders of ear
I132,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,Diseases of the circulatory system,Hypertensive diseases
I278,Other specified pulmonary heart diseases,Diseases of the circulatory system,Pulmonary heart disease and diseases of pulmonary circulation
I348,Other nonrheumatic mitral valve disorders,Diseases of the circulatory system,Other forms of heart disease
I360,Nonrheumatic tricuspid (valve) stenosis,Diseases of the circulatory system,Other forms of heart disease
I431,Cardiomyopathy in metabolic diseases,Diseases of the circulatory system,Other forms of heart disease
J920,Pleural plaque with presence of asbestos,Diseases of the respiratory system,Other diseases of pleura
J988,Other specified respiratory disorders,Diseases of the respiratory system,Other diseases of the respiratory system
J991,Respiratory disorders in other diffuse connective tissue disorders,Diseases of the respiratory system,Other diseases of the respiratory system
K264,Duodenal ulcer: chronic or unspecified with haemorrhage,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
K528,Other specified noninfective gastroenteritis and colitis,Diseases of the digestive system,Noninfective enteritis and colitis
K600,Acute anal fissure,Diseases of the digestive system,Other diseases of intestines
K628,Other specified diseases of anus and rectum,Diseases of the digestive system,Other diseases of intestines
K658,Other peritonitis,Diseases of the digestive system,Diseases of peritoneum
K752,Nonspecific reactive hepatitis,Diseases of the digestive system,Diseases of liver
L023,"Cutaneous abscess, furuncle and carbuncle of buttock",Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue
L259,"Unspecified contact dermatitis, unspecified cause",Diseases of the skin and subcutaneous tissue,Dermatitis and eczema
L405,"Arthropathic psoriasis (M07.0 - M07.3*, M09.0*)",Diseases of the skin and subcutaneous tissue,Papulosquamous disorders
L958,Other vasculitis limited to the skin,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue
