id,Pdx,Sdx,number_of_patient
2618,I350,I701,1
2619,I350,I712,1
2620,I350,I739,2
2621,I350,I951,1
2622,I350,I959,1
2623,I350,J150,1
2624,I350,J156,1
2625,I350,J159,1
2626,I350,J189,1
2627,I350,J450,1
2628,I350,J459,1
2629,I350,J81,1
2630,I350,J950,1
2631,I350,J951,1
2632,I350,J960,2
2633,I350,J984,1
2634,I350,J985,1
2635,I350,K021,1
2636,I350,K029,1
2637,I350,K318,1
2638,I350,K409,1
2639,I350,K719,1
2640,I350,K922,1
2641,I350,M0699,2
2642,I350,M1099,4
2643,I350,M1186,1
2644,I350,M179,2
2645,I350,M329,4
2646,I350,M351,1
2647,I350,M8199,1
2648,I350,N179,6
2649,I350,N183,3
2650,I350,N184,2
2651,I350,N185,7
2652,I350,N189,3
2653,I350,N341,1
2654,I350,N390,6
2655,I350,N40,4
2656,I350,Q019,1
2657,I350,Q251,1
2658,I350,R062,1
2659,I350,R35,1
2660,I350,R570,1
2661,I350,R571,1
2662,I350,R730,1
2663,I350,R731,3
2664,I350,T810,3
2665,I350,T827,1
2666,I351,A410,1
2667,I351,C509,1
2668,I351,D509,1
2669,I351,D649,1
2670,I351,E039,1
2671,I351,E041,1
2672,I351,E119,6
2673,I351,E149,1
2674,I351,E162,1
2675,I351,E46,1
2676,I351,E785,1
2677,I351,E789,10
2678,I351,E834,1
2679,I351,E871,1
2680,I351,E876,1
2681,I351,F019,1
2682,I351,G819,1
2683,I351,I050,2
2684,I351,I051,1
2685,I351,I071,3
2686,I351,I099,2
2687,I351,I10,15
2688,I351,I219,1
2689,I351,I251,4
2690,I351,I319,1
2691,I351,I330,5
2692,I351,I340,2
2693,I351,I361,1
2694,I351,I451,1
2695,I351,I48,3
2696,I351,I500,4
2697,I351,I619,1
2698,I351,I694,2
2699,I351,I710,2
2700,I351,I711,1
2701,I351,I712,3
2702,I351,I714,1
2703,I351,I719,1
2704,I351,J155,1
2705,I351,J181,1
2706,I351,J189,1
2707,I351,J40,1
2708,I351,J459,2
2709,I351,J90,1
2710,I351,J939,1
2711,I351,J981,1
2712,I351,K041,1
2713,I351,K710,1
2714,I351,K761,1
2715,I351,M1099,3
2716,I351,N183,1
2717,I351,N185,1
2718,I351,N189,1
2719,I351,Q210,1
2720,I351,Q231,1
2721,I351,Q254,2
2722,I351,Q874,1
2723,I351,R730,1
2724,I352,E119,1
2725,I352,E669,1
2726,I352,E789,5
2727,I352,E876,2
2728,I352,G819,1
2729,I352,I050,1
2730,I352,I10,2
2731,I352,I442,1
2732,I352,I469,1
2733,I352,I693,1
2734,I352,I778,1
2735,I352,M179,1
2736,I352,Q251,1
2737,I352,R030,1
2738,I352,R040,1
2739,I361,B182,1
2740,I361,D695,1
2741,I361,E119,1
2742,I361,I272,1
2743,I361,I48,3
2744,I361,I495,1
2745,I361,I500,1
2746,I361,I694,1
2747,I361,J189,1
2748,I361,J960,1
2749,I361,K746,1
2750,I361,Q257,1
2751,I361,R568,1
2752,I370,J304,1
2753,I370,J459,1
2754,I371,I071,1
2755,I371,I10,1
2756,I371,I420,1
2757,I371,I500,1
2758,I378,I270,1
2759,I38,I619,1
2760,I400,E871,1
2761,I400,J393,1
2762,I400,J960,1
2763,I400,J981,1
2764,I400,R392,1
2765,I400,R570,1
2766,I408,D65,1
2767,I408,D689,1
2768,I408,D696,1
2769,I408,E872,1
2770,I408,E878,1
2771,I408,G934,1
2772,I408,J960,1
2773,I408,K719,1
2774,I408,N179,1
2775,I408,R578,1
2776,I420,A090,1
2777,I420,B850,1
2778,I420,C402,1
2779,I420,D509,1
2780,I420,D560,1
2781,I420,D582,1
2782,I420,D649,1
2783,I420,D65,1
2784,I420,D683,1
2785,I420,D689,1
2786,I420,D696,2
2787,I420,E119,5
2788,I420,E274,1
2789,I420,E46,1
2790,I420,E669,2
2791,I420,E785,2
2792,I420,E789,7
2793,I420,E834,8
2794,I420,E871,4
2795,I420,E872,1
2796,I420,E875,3
2797,I420,E876,10
2798,I420,E888,1
2799,I420,F323,1
2800,I420,G459,1
2801,I420,G473,1
2802,I420,G931,1
2803,I420,I10,12
2804,I420,I139,1
2805,I420,I200,1
2806,I420,I251,3
2807,I420,I272,1
2808,I420,I313,1
2809,I420,I340,3
2810,I420,I361,2
2811,I420,I442,1
2812,I420,I460,1
2813,I420,I469,2
2814,I420,I471,2
2815,I420,I472,2
2816,I420,I48,7
2817,I420,I500,14
2818,I420,I501,3
2819,I420,I509,1
2820,I420,I518,1
2821,I420,I64,1
2822,I420,I693,1
2823,I420,J069,1
2824,I420,J100,1
2825,I420,J150,1
2826,I420,J304,1
2827,I420,J40,1
2828,I420,J449,2
2829,I420,K219,1
2830,I420,K269,1
2831,I420,K297,1
2832,I420,K30,1
2833,I420,K519,1
2834,I420,K529,1
2835,I420,K720,1
2836,I420,K761,2
2837,I420,K763,3
2838,I420,K858,1
2839,I420,M0699,1
2840,I420,M1006,1
2841,I420,M1394,1
2842,I420,M6288,1
2843,I420,N170,2
2844,I420,N179,8
2845,I420,N189,1
2846,I420,N390,3
2847,I420,N40,1
2848,I420,Q250,1
2849,I420,R05,1
2850,I420,R18,1
2851,I420,R35,1
2852,I420,R392,1
2853,I420,R568,1
2854,I420,R570,2
2855,I420,R572,3
2856,I420,R578,1
2857,I420,R628,1
2858,I420,R633,1
2859,I420,R730,1
2860,I420,R731,1
2861,I420,T810,1
2862,I421,E149,1
2863,I421,E222,1
2864,I421,E789,1
2865,I421,I10,1
2866,I421,M6269,1
2867,I422,A419,1
2868,I422,B690,1
2869,I422,D696,1
2870,I422,E119,2
2871,I422,E149,1
2872,I422,E789,4
2873,I422,E871,1
2874,I422,E876,2
2875,I422,G309,1
2876,I422,I10,8
2877,I422,I251,2
2878,I422,I340,2
2879,I422,I442,1
2880,I422,I48,1
2881,I422,I500,5
2882,I422,I802,1
2883,I422,J960,1
2884,I422,K922,2
2885,I422,N185,1
2886,I422,R001,1
2887,I422,R570,1
2888,I422,R731,1
2889,I427,E131,1
2890,I427,E789,1
2891,I427,I272,1
2892,I427,I460,1
2893,I427,I500,1
2894,I427,J90,1
2895,I427,O994,1
2896,I427,R568,1
2897,I428,D180,1
2898,I428,D62,1
2899,I428,E149,1
2900,I428,E789,3
2901,I428,E834,1
2902,I428,E871,1
2903,I428,E876,1
2904,I428,F059,1
2905,I428,F329,1
2906,I428,F432,1
2907,I428,G20,1
2908,I428,G931,1
2909,I428,I10,4
2910,I428,I214,1
2911,I428,I236,1
2912,I428,I472,1
2913,I428,I500,2
2914,I428,I501,1
2915,I428,I634,1
2916,I428,J189,1
2917,I428,J441,1
2918,I428,J459,2
2919,I428,J960,2
2920,I428,K922,1
2921,I428,R572,1
2922,I429,E119,2
2923,I429,E785,1
2924,I429,E789,3
2925,I429,E834,2
2926,I429,E876,2
2927,I429,F103,1
2928,I429,F109,1
2929,I429,I052,1
2930,I429,I10,2
2931,I429,I270,1
2932,I429,I48,2
2933,I429,K068,1
2934,I429,K759,1
2935,I429,K922,1
2936,I429,M6286,1
2937,I429,N10,1
2938,I429,N200,1
2939,I429,R31,1
2940,I429,R35,1
2941,I429,R509,1
2942,I440,E789,1
2943,I440,I10,1
2944,I440,I361,1
2945,I441,E871,1
2946,I441,E875,1
2947,I441,E876,1
2948,I441,H813,1
2949,I441,I10,3
2950,I441,N183,1
2951,I441,N281,1
2952,I441,N390,1
2953,I441,R001,1
2954,I441,R55,1
2955,I442,B182,1
2956,I442,C349,1
2957,I442,C795,1
2958,I442,D649,2
2959,I442,D696,1
2960,I442,E039,1
2961,I442,E063,1
2962,I442,E119,10
2963,I442,E149,5
2964,I442,E789,21
2965,I442,E834,2
2966,I442,E871,1
2967,I442,E876,6
2968,I442,G20,2
2969,I442,I10,28
2970,I442,I251,8
2971,I442,I255,1
2972,I442,I350,1
2973,I442,I409,1
2974,I442,I469,1
2975,I442,I48,3
2976,I442,I500,5
2977,I442,I694,3
2978,I442,I728,1
2979,I442,I748,1
2980,I442,I776,1
2981,I442,I959,1
2982,I442,J189,1
2983,I442,J40,1
2984,I442,J46,1
2985,I442,J90,1
2986,I442,J939,1
2987,I442,J960,1
2988,I442,K219,1
2989,I442,K30,1
2990,I442,L509,1
2991,I442,M1099,2
2992,I442,M170,1
2993,I442,M4316,1
2994,I442,N10,1
2995,I442,N133,1
2996,I442,N179,7
2997,I442,N185,2
2998,I442,N300,1
2999,I442,N390,1
3000,I442,N40,2
3001,I442,R392,1
3002,I442,R42,1
3003,I442,R591,1
3004,I442,R731,1
3005,I442,R937,1
3006,I442,T801,1
3007,I442,T823,1
3008,I442,T827,1
3009,I446,E119,1
3010,I446,E789,1
3011,I446,I10,1
3012,I446,R55,1
3013,I456,D721,1
3014,I456,E058,1
3015,I456,E059,1
3016,I456,F322,1
3017,I456,I471,2
3018,I456,L639,1
3019,I456,L918,1
3020,I456,T818,1
3021,I458,E876,1
3022,I460,A090,1
3023,I460,B961,1
3024,I460,D509,1
3025,I460,D638,1
3026,I460,D649,1
3027,I460,D689,2
3028,I460,E119,3
3029,I460,E162,1
3030,I460,E789,1
3031,I460,E834,2
3032,I460,E870,1
3033,I460,E871,2
3034,I460,E872,3
3035,I460,E875,2
3036,I460,E876,2
3037,I460,F102,1
3038,I460,F430,1
3039,I460,G20,1
3040,I460,G409,1
3041,I460,G931,2
3042,I460,G934,1
3043,I460,G936,1
3044,I460,H259,1
3045,I460,I10,3
3046,I460,I251,4
3047,I460,I429,1
3048,I460,I48,1
3049,I460,I500,1
3050,I460,I501,2
3051,I460,I698,1
3052,I460,I714,1
3053,I460,I859,1
3054,I460,J151,1
3055,I460,J189,3
3056,I460,J40,1
3057,I460,J950,1
3058,I460,J960,2
3059,I460,K259,1
3060,I460,K279,1
3061,I460,K290,1
3062,I460,K625,1
3063,I460,K720,1
3064,I460,K729,1
3065,I460,K759,1
3066,I460,K763,1
3067,I460,K766,1
3068,I460,K922,2
3069,I460,M1099,1
3070,I460,N170,2
3071,I460,N179,2
3072,I460,N185,4
3073,I460,N309,1
3074,I460,N390,1
3075,I460,Q211,1
3076,I460,R263,1
3077,I460,R568,1
3078,I460,R571,3
3079,I460,R572,3
3080,I460,T827,1
3081,I469,A090,1
3082,I469,A419,2
3083,I469,b181,1
3084,I469,B370,1
3085,I469,D62,1
3086,I469,D638,1
3087,I469,D649,2
3088,I469,D65,1
3089,I469,D689,2
3090,I469,D696,2
3091,I469,E119,2
3092,I469,E149,2
3093,I469,E162,1
3094,I469,E789,4
3095,I469,E833,2
3096,I469,E834,2
3097,I469,E871,1
3098,I469,E872,10
3099,I469,E875,3
3100,I469,E876,1
3101,I469,F03,2
3102,I469,G20,4
3103,I469,G253,1
3104,I469,G931,4
3105,I469,I10,5
3106,I469,I213,1
3107,I469,I251,3
3108,I469,I269,1
3109,I469,I48,1
3110,I469,I499,1
3111,I469,I500,1
3112,I469,I501,1
3113,I469,I639,1
3114,I469,I694,1
3115,I469,J189,1
3116,I469,J459,1
3117,I469,J690,1
3118,I469,J960,3
3119,I469,K638,1
3120,I469,K746,1
3121,I469,K750,1
3122,I469,K759,2
3123,I469,K763,2
3124,I469,K922,3
3125,I469,L891,1
3126,I469,M1099,1
3127,I469,M8199,1
3128,I469,N170,1
3129,I469,N179,6
3130,I469,N185,2
3131,I469,N189,2
3132,I469,N390,2
3133,I469,R31,1
3134,I469,R571,1
3135,I469,R572,2
3136,I471,b181,1
3137,I471,D259,1
3138,I471,E039,2
3139,I471,E119,7
3140,I471,E669,2
3141,I471,E785,1
3142,I471,E789,9
3143,I471,E834,5
3144,I471,E871,1
3145,I471,E876,1
3146,I471,F03,1
3147,I471,G20,1
3148,I471,G439,1
3149,I471,G513,1
3150,I471,I10,16
3151,I471,I251,4
3152,I471,I259,1
3153,I471,I270,1
3154,I471,I272,1
3155,I471,I319,1
3156,I471,I438,1
3157,I471,I48,1
3158,I471,I495,1
3159,I471,I500,1
3160,I471,I692,1
3161,I471,I694,2
3162,I471,I959,1
3163,I471,J156,1
3164,I471,J304,1
3165,I471,J960,1
3166,I471,K625,1
3167,I471,M1004,1
3168,I471,M8196,1
3169,I471,N170,1
3170,I471,N179,1
3171,I471,R001,1
3172,I471,R33,1
3173,I471,R570,1
3174,I471,R572,1
3175,I471,R739,1
3176,I472,A099,1
3177,I472,A162,1
3178,I472,A410,1
3179,I472,D561,1
3180,I472,E039,1
3181,I472,E050,1
3182,I472,E119,6
3183,I472,E149,3
3184,I472,E559,1
3185,I472,E781,1
3186,I472,E789,11
3187,I472,E834,6
3188,I472,E835,1
3189,I472,E872,1
3190,I472,E875,2
3191,I472,E876,5
3192,I472,G931,1
3193,I472,I10,13
3194,I472,I159,1
3195,I472,I251,4
3196,I472,I252,1
3197,I472,I272,1
3198,I472,I351,1
3199,I472,I420,1
3200,I472,I429,2
3201,I472,I456,1
3202,I472,I469,3
3203,I472,I471,1
3204,I472,I48,2
3205,I472,I493,2
3206,I472,I498,1
3207,I472,I500,7
3208,I472,I634,1
3209,I472,I693,1
3210,I472,I694,2
3211,I472,I714,1
3212,I472,I802,2
3213,I472,J441,1
3214,I472,J690,1
3215,I472,J849,1
3216,I472,J90,1
3217,I472,J960,1
3218,I472,K716,1
3219,I472,K763,2
3220,I472,M1099,1
3221,I472,M1127,1
3222,I472,N170,1
3223,I472,N179,6
3224,I472,N184,1
3225,I472,N185,1
3226,I472,N189,1
3227,I472,N390,1
3228,I472,N40,3
3229,I472,O994,1
3230,I472,Q201,1
3231,I472,R35,1
3232,I472,R392,2
3233,I472,R570,1
3234,I472,R572,1
3235,I472,R731,1
3236,I472,T813,1
3237,I48,A090,1
3238,I48,B909,1
3239,I48,C220,1
3240,I48,C349,1
3241,I48,D638,1
3242,I48,D689,1
3243,I48,D695,1
3244,I48,E059,1
3245,I48,E117,2
3246,I48,E119,7
3247,I48,E559,1
3248,I48,E789,10
3249,I48,E834,2
3250,I48,E872,1
3251,I48,E876,4
3252,I48,F059,1
3253,I48,F209,1
3254,I48,G20,2
3255,I48,G253,1
3256,I48,G459,1
3257,I48,G819,1
3258,I48,H360,1
3259,I48,H3609,1
3260,I48,I050,3
3261,I48,I10,16
3262,I48,I251,4
3263,I48,I269,2
3264,I48,I272,2
3265,I48,I340,5
3266,I48,I350,1
3267,I48,I351,1
3268,I48,I361,2
3269,I48,I422,2
3270,I48,I429,1
3271,I48,I469,1
3272,I48,I490,1
3273,I48,I493,1
3274,I48,I495,3
3275,I48,I500,10
3276,I48,I693,1
3277,I48,I694,1
3278,I48,I714,1
3279,I48,I802,1
3280,I48,J181,1
3281,I48,J189,3
3282,I48,J459,1
3283,I48,J90,1
3284,I48,J960,3
3285,I48,K590,1
3286,I48,K716,1
3287,I48,K746,1
3288,I48,K763,1
3289,I48,L309,2
3290,I48,M1099,1
3291,I48,N083,2
3292,I48,N179,3
3293,I48,N185,4
3294,I48,N189,1
3295,I48,N40,4
3296,I48,N485,1
3297,I48,R000,1
3298,I48,R001,1
3299,I48,R509,1
3300,I48,R570,1
3301,I48,R572,1
3302,I48,T828,1
3303,I480,C19,1
3304,I480,E119,3
3305,I480,E789,4
3306,I480,E834,3
3307,I480,G473,1
3308,I480,I10,3
3309,I480,I500,1
3310,I480,I639,1
3311,I480,I694,1
3312,I480,J449,1
3313,I480,K219,1
3314,I480,L509,1
3315,I480,N179,1
3316,I480,N40,1
3317,I480,R42,1
3318,I480,R55,2
3319,I480,R571,1
3320,I489,A099,1
3321,I489,A412,1
3322,I489,A418,1
3323,I489,b181,1
3324,I489,C349,1
3325,I489,C509,1
3326,I489,C920,1
3327,I489,D34,1
3328,I489,D45,1
3329,I489,D509,4
3330,I489,D638,2
3331,I489,D683,1
3332,I489,D689,1
3333,I489,E02,1
3334,I489,E059,2
3335,I489,E113,1
3336,I489,E119,7
3337,I489,E149,2
3338,I489,E162,1
3339,I489,E222,1
3340,I489,E559,1
3341,I489,E669,1
3342,I489,E785,1
3343,I489,E789,18
3344,I489,E833,1
3345,I489,E834,9
3346,I489,E875,2
3347,I489,E876,5
3348,I489,F03,1
3349,I489,F059,1
3350,I489,F103,1
3351,I489,G20,2
3352,I489,G409,1
3353,I489,G473,1
3354,I489,G819,2
3355,I489,H259,1
3356,I489,H360,1
3357,I489,I050,1
3358,I489,I052,2
3359,I489,I10,25
3360,I489,I214,1
3361,I489,I251,6
3362,I489,I255,1
3363,I489,I259,1
3364,I489,I270,1
3365,I489,I340,2
3366,I489,I350,1
3367,I489,I429,2
3368,I489,I442,2
3369,I489,I500,12
3370,I489,I501,2
3371,I489,I509,2
3372,I489,I693,1
3373,I489,I694,7
3374,I489,I808,1
3375,I489,J029,1
3376,I489,J128,1
3377,I489,J189,1
3378,I489,J449,2
3379,I489,J459,1
3380,I489,J81,1
3381,I489,J960,1
3382,I489,K701,1
3383,I489,K703,1
3384,I489,K729,1
3385,I489,K858,1
3386,I489,M1399,1
3387,I489,M179,1
3388,I489,M2556,1
3389,I489,M545,1
3390,I489,M627,1
3391,I489,M8008,1
3392,I489,M8199,1
3393,I489,N170,1
3394,I489,N179,4
3395,I489,N183,1
3396,I489,N189,1
3397,I489,N319,1
3398,I489,N390,2
3399,I489,N40,2
3400,I489,Q250,1
3401,I489,R002,1
3402,I489,R31,1
3403,I489,R35,1
3404,I489,R392,1
3405,I489,R55,1
3406,I489,R570,1
3407,I489,R731,1
3408,I489,R739,1
3409,I489,R945,1
3410,I490,E230,1
3411,I490,E559,1
3412,I490,E834,1
3413,I490,E835,1
3414,I490,E872,1
3415,I490,E876,2
3416,I490,G419,1
3417,I490,G931,1
3418,I490,H179,1
3419,I490,I251,1
3420,I490,I460,1
3421,I490,I469,1
3422,I490,J151,1
3423,I490,J189,1
3424,I490,J690,1
3425,I490,K088,1
3426,I490,K294,1
3427,I490,K763,1
3428,I490,K922,1
3429,I490,M627,1
3430,I490,M6289,1
3431,I490,N179,3
3432,I490,R35,1
3433,I490,R572,1
3434,I493,A188,1
3435,I493,D259,1
3436,I493,D696,1
3437,I493,E149,1
3438,I493,E789,3
3439,I493,I10,5
3440,I493,I472,2
3441,I493,I48,1
3442,I493,I517,1
3443,I493,K938,1
3444,I493,M0699,1
3445,I493,N185,1
3446,I493,R568,1
3447,I495,C349,1
3448,I495,C509,1
3449,I495,C61,1
3450,I495,C64,1
3451,I495,D509,1
3452,I495,D560,2
3453,I495,D619,1
3454,I495,E059,1
3455,I495,E112,1
3456,I495,E117,1
3457,I495,E119,8
3458,I495,E149,1
3459,I495,E789,17
3460,I495,E834,5
3461,I495,E876,4
3462,I495,E890,1
3463,I495,F03,1
3464,I495,G20,1
3465,I495,G473,1
3466,I495,H3602,1
3467,I495,I071,1
3468,I495,I10,23
3469,I495,I219,1
3470,I495,I251,3
3471,I495,I272,1
3472,I495,I340,2
3473,I495,I350,1
3474,I495,I442,1
3475,I495,I48,11
3476,I495,I490,1
3477,I495,I678,1
3478,I495,I694,2
3479,I495,I951,1
3480,I495,I959,1
3481,I495,J304,1
3482,I495,J449,1
3483,I495,J942,1
3484,I495,J981,1
3485,I495,J982,1
3486,I495,K703,1
3487,I495,M1097,1
3488,I495,N083,2
3489,I495,N179,2
3490,I495,N183,1
3491,I495,N185,3
3492,I495,N189,4
3493,I495,N390,1
3494,I495,R001,1
3495,I498,E876,1
3496,I498,G403,1
3497,I498,G700,1
3498,I498,I10,1
3499,I498,I460,1
3500,I498,I469,1
3501,I498,J690,1
3502,I498,K922,1
3503,I498,R412,1
3504,I499,B769,1
3505,I499,D509,1
3506,I499,D638,1
3507,I499,E789,1
3508,I499,E834,1
3509,I499,E872,1
3510,I499,E875,1
3511,I499,F03,1
3512,I499,F122,1
3513,I499,F609,1
3514,I499,H409,1
3515,I499,I10,2
3516,I499,I340,1
3517,I499,I460,1
3518,I499,I48,1
3519,I499,I500,2
3520,I499,N170,1
3521,I499,N185,1
3522,I499,R001,2
3523,I499,R31,1
3524,I499,R55,1
3525,I499,T810,1
3526,I500,A084,1
3527,I500,A090,2
3528,I500,A099,2
3529,I500,A150,1
3530,I500,A162,2
3531,I500,A165,1
3532,I500,A180,1
3533,I500,A188,1
3534,I500,A401,1
3535,I500,A410,1
3536,I500,A415,4
3537,I500,A418,2
3538,I500,A419,3
3539,I500,A499,1
3540,I500,B029,1
3541,I500,b181,12
3542,I500,B182,6
3543,I500,B349,1
3544,I500,B378,1
3545,I500,B49,1
3546,I500,B789,1
3547,I500,B909,8
3548,I500,B961,3
3549,I500,B962,10
3550,I500,B965,1
3551,I500,C12,1
3552,I500,C187,1
3553,I500,C20,1
3554,I500,C220,3
3555,I500,C343,1
3556,I500,C349,3
3557,I500,C509,4
3558,I500,C541,1
3559,I500,C679,1
3560,I500,C73,1
3561,I500,C795,1
3562,I500,C833,1
3563,I500,C859,1
3564,I500,C900,2
3565,I500,C911,1
3566,I500,C920,1
3567,I500,D180,1
3568,I500,D352,1
3569,I500,D45,2
3570,I500,D469,6
3571,I500,D500,1
3572,I500,D509,39
3573,I500,D529,1
3574,I500,D560,2
3575,I500,D561,1
3576,I500,D563,2
3577,I500,D589,1
3578,I500,D591,6
3579,I500,D62,7
3580,I500,D638,35
3581,I500,D649,27
3582,I500,D65,1
3583,I500,D683,7
3584,I500,D689,10
3585,I500,D695,1
3586,I500,D696,8
3587,I500,D721,2
3588,I500,D731,1
3589,I500,D751,1
3590,I500,D759,1
3591,I500,E02,2
3592,I500,E039,14
3593,I500,E042,1
3594,I500,E050,3
3595,I500,E059,15
3596,I500,E063,2
3597,I500,E112,4
3598,I500,E113,10
3599,I500,E115,2
3600,I500,E117,6
3601,I500,E119,179
3602,I500,E149,52
3603,I500,E162,1
3604,I500,E209,1
3605,I500,E213,1
3606,I500,E222,3
3607,I500,E273,1
3608,I500,E274,4
3609,I500,E279,2
3610,I500,E43,1
3611,I500,E46,7
3612,I500,E559,6
3613,I500,E662,2
3614,I500,E668,13
3615,I500,E669,11
3616,I500,E780,1
3617,I500,E785,6
3618,I500,E789,247
3619,I500,E790,2
3620,I500,E831,1
3621,I500,E833,3
3622,I500,E834,76
3623,I500,E835,7
3624,I500,E859,2
3625,I500,E86,2
3626,I500,E870,4
3627,I500,E871,41
3628,I500,E872,14
3629,I500,E873,4
3630,I500,E875,17
3631,I500,E876,106
3632,I500,E877,5
3633,I500,E878,1
3634,I500,E880,3
3635,I500,E883,2
3636,I500,F009,1
3637,I500,F012,1
3638,I500,F019,1
3639,I500,F03,5
3640,I500,F050,1
3641,I500,F059,5
3642,I500,F067,1
3643,I500,F151,2
3644,I500,F209,1
3645,I500,F239,1
3646,I500,F323,1
3647,I500,F329,2
3648,I500,F412,1
3649,I500,F430,1
3650,I500,F432,3
3651,I500,F453,1
3652,I500,F510,1
3653,I500,G20,5
3654,I500,G309,5
3655,I500,G402,1
3656,I500,G409,3
3657,I500,G419,1
3658,I500,G459,3
3659,I500,G470,1
3660,I500,G473,34
3661,I500,G629,1
3662,I500,G724,1
3663,I500,G819,4
3664,I500,G822,1
3665,I500,G931,3
3666,I500,G958,1
3667,I500,G98,1
3668,I500,H259,1
3669,I500,H360,8
3670,I500,H3602,6
3671,I500,H3609,2
3672,I500,H409,1
3673,I500,H470,1
3674,I500,H540,1
3675,I500,H905,1
3676,I500,I050,9
3677,I500,I051,2
3678,I500,I052,4
3679,I500,I071,14
3680,I500,I081,1
3681,I500,I099,2
3682,I500,I10,374
3683,I500,I129,1
3684,I500,I130,4
3685,I500,I132,2
3686,I500,I139,1
3687,I500,I200,4
3688,I500,I201,1
3689,I500,I211,1
3690,I500,I213,1
3691,I500,I214,16
3692,I500,I219,2
3693,I500,I251,147
3694,I500,I252,4
3695,I500,I255,10
3696,I500,I259,8
3697,I500,I260,2
3698,I500,I269,9
3699,I500,I270,10
3700,I500,I272,34
3701,I500,I278,2
3702,I500,I313,5
3703,I500,I320,1
3704,I500,I340,32
3705,I500,I341,1
3706,I500,I348,1
3707,I500,I350,16
3708,I500,I351,5
3709,I500,I352,2
3710,I500,I360,1
3711,I500,I361,9
3712,I500,I370,1
3713,I500,I38,4
3714,I500,I420,45
3715,I500,I421,2
3716,I500,I422,4
3717,I500,I428,3
3718,I500,I429,6
3719,I500,I431,1
3720,I500,I442,6
3721,I500,I451,1
3722,I500,I460,5
3723,I500,I469,6
3724,I500,I471,5
3725,I500,I472,7
3726,I500,I48,220
3727,I500,I490,1
3728,I500,I493,4
3729,I500,I495,21
3730,I500,I499,1
3731,I500,I501,1
3732,I500,I509,1
3733,I500,I510,1
3734,I500,I517,3
3735,I500,I518,3
3736,I500,I620,1
3737,I500,I629,1
3738,I500,I633,1
3739,I500,I634,1
3740,I500,I635,7
3741,I500,I64,5
3742,I500,I652,2
3743,I500,I694,39
3744,I500,I7010,1
3745,I500,I710,1
3746,I500,I714,2
3747,I500,I739,6
3748,I500,I743,3
3749,I500,I748,1
3750,I500,I802,4
3751,I500,I803,1
3752,I500,I808,1
3753,I500,I809,1
3754,I500,I81,1
3755,I500,I872,2
3756,I500,I952,2
3757,I500,J069,2
3758,I500,J100,1
3759,I500,J108,1
3760,I500,J129,1
3761,I500,J151,1
3762,I500,J156,3
3763,I500,J159,3
3764,I500,J181,4
3765,I500,J189,25
3766,I500,J208,1
3767,I500,J209,14
3768,I500,J304,6
3769,I500,J329,1
3770,I500,J380,2
3771,I500,J40,11
3772,I500,J440,1
3773,I500,J441,4
3774,I500,J449,17
3775,I500,J459,11
3776,I500,J46,3
3777,I500,J47,3
3778,I500,J690,1
3779,I500,J81,3
3780,I500,J849,3
3781,I500,J90,31
3782,I500,J920,1
3783,I500,J939,3
3784,I500,J960,60
3785,I500,J981,4
3786,I500,J984,2
3787,I500,J988,1
3788,I500,J991,1
3789,I500,K219,7
3790,I500,K250,2
3791,I500,K254,1
3792,I500,K259,3
3793,I500,K260,1
3794,I500,K264,1
3795,I500,K279,1
3796,I500,K290,2
3797,I500,K297,4
3798,I500,K298,1
3799,I500,K30,3
3800,I500,K317,1
3801,I500,K409,1
3802,I500,K519,1
3803,I500,K528,1
3804,I500,K566,1
3805,I500,K589,1
3806,I500,K590,4
3807,I500,K600,1
3808,I500,K625,2
3809,I500,K628,1
3810,I500,K633,1
3811,I500,K635,2
3812,I500,K649,2
3813,I500,K658,1
3814,I500,K703,4
3815,I500,K716,1
3816,I500,K729,1
3817,I500,K746,20
3818,I500,K752,1
3819,I500,K754,1
3820,I500,K758,4
3821,I500,K759,2
3822,I500,K760,3
3823,I500,K761,3
3824,I500,K763,3
3825,I500,K802,2
3826,I500,K805,1
3827,I500,K922,9
3828,I500,L023,1
3829,I500,L030,1
3830,I500,L031,3
3831,I500,L259,1
3832,I500,L309,4
3833,I500,L405,1
3834,I500,L409,1
3835,I500,L508,2
3836,I500,L891,1
3837,I500,L958,1
3838,I500,M0096,1
3839,I500,M0099,1
3840,I500,M0119,1
3841,I500,M0699,4
3842,I500,M0909,1
3843,I500,M1006,3
3844,I500,M1009,5
3845,I500,M1092,1
3846,I500,M1096,1
3847,I500,M1099,34
3848,I500,M1120,1
3849,I500,M1126,2
3850,I500,M1127,1
3851,I500,M1183,1
3852,I500,M1189,1
3853,I500,M1399,1
3854,I500,M146,1
3855,I500,M171,2
3856,I500,M179,5
3857,I500,M1999,1
3858,I500,M316,1
3859,I500,M321,4
3860,I500,M329,2
3861,I500,M332,1
3862,I500,M348,1
3863,I500,M349,3
3864,I500,M350,1
3865,I500,M351,1
3866,I500,M4316,3
3867,I500,M4809,3
3868,I500,M6226,1
3869,I500,M627,1
3870,I500,M6593,1
3871,I500,M7127,1
3872,I500,M7269,1
3873,I500,M7919,1
3874,I500,M8199,7
3875,I500,M8669,1
3876,I500,M8697,1
3877,I500,N042,1
3878,I500,N049,6
3879,I500,N052,1
3880,I500,N059,1
3881,I500,N083,10
